Winner,Year,Wins,Cumulative Wins
Packers,1966,0.0,0.0
Jets,1966,0.0,0.0
Chiefs,1966,0.0,0.0
Colts,1966,0.0,0.0
Cowboys,1966,0.0,0.0
Dolphins,1966,0.0,0.0
Steelers,1966,0.0,0.0
Raiders,1966,0.0,0.0
49ers,1966,0.0,0.0
Commanders,1966,0.0,0.0
Bears,1966,0.0,0.0
Giants,1966,0.0,0.0
Broncos,1966,0.0,0.0
Rams,1966,0.0,0.0
Ravens,1966,0.0,0.0
Patriots,1966,0.0,0.0
Buccaneers,1966,0.0,0.0
Saints,1966,0.0,0.0
Seahawks,1966,0.0,0.0
Eagles,1966,0.0,0.0
Packers,1967,1.0,1.0
Packers,1968,1.0,2.0
Packers,1969,0.0,2.0
Packers,1970,0.0,2.0
Packers,1971,0.0,2.0
Packers,1972,0.0,2.0
Packers,1973,0.0,2.0
Packers,1974,0.0,2.0
Packers,1975,0.0,2.0
Packers,1976,0.0,2.0
Packers,1977,0.0,2.0
Packers,1978,0.0,2.0
Packers,1979,0.0,2.0
Packers,1980,0.0,2.0
Packers,1981,0.0,2.0
Packers,1982,0.0,2.0
Packers,1983,0.0,2.0
Packers,1984,0.0,2.0
Packers,1985,0.0,2.0
Packers,1986,0.0,2.0
Packers,1987,0.0,2.0
Packers,1988,0.0,2.0
Packers,1989,0.0,2.0
Packers,1990,0.0,2.0
Packers,1991,0.0,2.0
Packers,1992,0.0,2.0
Packers,1993,0.0,2.0
Packers,1994,0.0,2.0
Packers,1995,0.0,2.0
Packers,1996,0.0,2.0
Packers,1997,1.0,3.0
Packers,1998,0.0,3.0
Packers,1999,0.0,3.0
Packers,2000,0.0,3.0
Packers,2001,0.0,3.0
Packers,2002,0.0,3.0
Packers,2003,0.0,3.0
Packers,2004,0.0,3.0
Packers,2005,0.0,3.0
Packers,2006,0.0,3.0
Packers,2007,0.0,3.0
Packers,2008,0.0,3.0
Packers,2009,0.0,3.0
Packers,2010,0.0,3.0
Packers,2011,1.0,4.0
Packers,2012,0.0,4.0
Packers,2013,0.0,4.0
Packers,2014,0.0,4.0
Packers,2015,0.0,4.0
Packers,2016,0.0,4.0
Packers,2017,0.0,4.0
Packers,2018,0.0,4.0
Packers,2019,0.0,4.0
Packers,2020,0.0,4.0
Packers,2021,0.0,4.0
Packers,2022,0.0,4.0
Packers,2023,0.0,4.0
Packers,2024,0.0,4.0
Jets,1967,0.0,0.0
Jets,1968,0.0,0.0
Jets,1969,1.0,1.0
Jets,1970,0.0,1.0
Jets,1971,0.0,1.0
Jets,1972,0.0,1.0
Jets,1973,0.0,1.0
Jets,1974,0.0,1.0
Jets,1975,0.0,1.0
Jets,1976,0.0,1.0
Jets,1977,0.0,1.0
Jets,1978,0.0,1.0
Jets,1979,0.0,1.0
Jets,1980,0.0,1.0
Jets,1981,0.0,1.0
Jets,1982,0.0,1.0
Jets,1983,0.0,1.0
Jets,1984,0.0,1.0
Jets,1985,0.0,1.0
Jets,1986,0.0,1.0
Jets,1987,0.0,1.0
Jets,1988,0.0,1.0
Jets,1989,0.0,1.0
Jets,1990,0.0,1.0
Jets,1991,0.0,1.0
Jets,1992,0.0,1.0
Jets,1993,0.0,1.0
Jets,1994,0.0,1.0
Jets,1995,0.0,1.0
Jets,1996,0.0,1.0
Jets,1997,0.0,1.0
Jets,1998,0.0,1.0
Jets,1999,0.0,1.0
Jets,2000,0.0,1.0
Jets,2001,0.0,1.0
Jets,2002,0.0,1.0
Jets,2003,0.0,1.0
Jets,2004,0.0,1.0
Jets,2005,0.0,1.0
Jets,2006,0.0,1.0
Jets,2007,0.0,1.0
Jets,2008,0.0,1.0
Jets,2009,0.0,1.0
Jets,2010,0.0,1.0
Jets,2011,0.0,1.0
Jets,2012,0.0,1.0
Jets,2013,0.0,1.0
Jets,2014,0.0,1.0
Jets,2015,0.0,1.0
Jets,2016,0.0,1.0
Jets,2017,0.0,1.0
Jets,2018,0.0,1.0
Jets,2019,0.0,1.0
Jets,2020,0.0,1.0
Jets,2021,0.0,1.0
Jets,2022,0.0,1.0
Jets,2023,0.0,1.0
Jets,2024,0.0,1.0
Chiefs,1967,0.0,0.0
Chiefs,1968,0.0,0.0
Chiefs,1969,0.0,0.0
Chiefs,1970,1.0,1.0
Chiefs,1971,0.0,1.0
Chiefs,1972,0.0,1.0
Chiefs,1973,0.0,1.0
Chiefs,1974,0.0,1.0
Chiefs,1975,0.0,1.0
Chiefs,1976,0.0,1.0
Chiefs,1977,0.0,1.0
Chiefs,1978,0.0,1.0
Chiefs,1979,0.0,1.0
Chiefs,1980,0.0,1.0
Chiefs,1981,0.0,1.0
Chiefs,1982,0.0,1.0
Chiefs,1983,0.0,1.0
Chiefs,1984,0.0,1.0
Chiefs,1985,0.0,1.0
Chiefs,1986,0.0,1.0
Chiefs,1987,0.0,1.0
Chiefs,1988,0.0,1.0
Chiefs,1989,0.0,1.0
Chiefs,1990,0.0,1.0
Chiefs,1991,0.0,1.0
Chiefs,1992,0.0,1.0
Chiefs,1993,0.0,1.0
Chiefs,1994,0.0,1.0
Chiefs,1995,0.0,1.0
Chiefs,1996,0.0,1.0
Chiefs,1997,0.0,1.0
Chiefs,1998,0.0,1.0
Chiefs,1999,0.0,1.0
Chiefs,2000,0.0,1.0
Chiefs,2001,0.0,1.0
Chiefs,2002,0.0,1.0
Chiefs,2003,0.0,1.0
Chiefs,2004,0.0,1.0
Chiefs,2005,0.0,1.0
Chiefs,2006,0.0,1.0
Chiefs,2007,0.0,1.0
Chiefs,2008,0.0,1.0
Chiefs,2009,0.0,1.0
Chiefs,2010,0.0,1.0
Chiefs,2011,0.0,1.0
Chiefs,2012,0.0,1.0
Chiefs,2013,0.0,1.0
Chiefs,2014,0.0,1.0
Chiefs,2015,0.0,1.0
Chiefs,2016,0.0,1.0
Chiefs,2017,0.0,1.0
Chiefs,2018,0.0,1.0
